,商品id,标题,价格,店铺,品牌,图片,总评数,平均得分,好评数,默认好评,好评率,追评数,视频晒单数,差评数,中评数
77,10039345133055,	vivo Y93 水滴屏 全面屏全网通4G游戏  双卡双待 黑色 3+64G 全网通 8成新,213.0,唯尔优品二手商品专营店,vivo,//img10.360buyimg.com/n7/jfs/t1/239281/3/3959/96902/65da26e1F1c2fab9e/84f93fb5314f5a38.jpg.avif,500,5,100,200,0.96,5,0,2,4
78,100073415037,vivo Y100 8GB+256GB 琉云青 高通骁龙695  5000mAh大电池 6400万OIS光学防抖 5G 快充 拍照 ,1239.0,中国移动京东自营官方旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/226860/24/12393/47365/65aa1216Fb44bb2b3/6baa2f71f3801f60.jpg.avif,100,5,20,100,0.9,1,4,2,1
79,10096542965374,vivo Y100t 120W超快闪充 天玑8200旗舰芯片 5000mAh电池 5G   远山青 8GB+256GB,1449.0,vivo官方旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/136076/14/42665/65361/65d7fa68Fc54f5bb9/fd99b8020f172ef1.png.avif,0,5,0,0,1.0,0,0,0,0
80,100054686608,vivo S17  12GB+512GB 玄黑 前置5000万广角柔光 后置智慧柔光环 1.5K超视网膜屏 5G 快充  拍照 ,1969.0,中国移动京东自营官方旗舰店,vivo,//img13.360buyimg.com/n7/jfs/t1/215088/10/31240/57676/647d52cdF0ff69e2c/c1e2be2429ce08e1.jpg.avif,0,5,0,0,1.0,0,0,0,0
81,100073799186, vivo Y78t 8GB+128GB  雪域白  4nm第一代骁龙6 6000mAh大电池 5000万超清影像 5G 快充 拍照 ,1199.0,中国移动手机京东自营专区,vivo,//img11.360buyimg.com/n7/jfs/t1/89489/35/35143/53078/65643dffF29bfdf1a/630ba890a7e11bc0.jpg.avif,500,5,90,200,0.97,1,1,1,1
82,100085340924,vivo iQOO Neo9 16GB+512GB 红白魂 5G iqooneo9游戏电竞144Hz高刷1.5K屏第二代骁龙8闪充120W快充,2799.0,京东手机运营商自营旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/227872/17/10482/121266/658bed56Fd64191dc/a5f787f84c738947.jpg.avif,500,5,500,200,0.99,8,10,3,0
83,10094153539508,vivo S9  天玑1100处理器5G 6400后置拍照轻薄防抖S9模型 印象时光 无指纹+快充 8+128GB（9.5成新轻微使用痕迹）,677.0,智创数字通讯小店,vivo,//img13.360buyimg.com/n7/jfs/t1/234655/5/8764/21936/6581a1e7F07078516/f9ca5639ac3908c2.jpg.avif,12,5,0,12,1.0,0,0,0,0
84,10093902265980,vivo分期/免息 vivo S18 后置影棚级 5000mAh超薄蓝海电池 第三代骁龙7 5G快充拍照  花似锦 8+256GB,2099.0,,vivo,//img10.360buyimg.com/n7/jfs/t1/224435/30/9775/48496/657ed129Ff65ae353/157ccf928e4a0353.jpg.avif,1,5,0,1,1.0,0,0,0,0
85,10073532586344,vivo Y78+旗舰级120Hz OLED曲面屏 5000万OIS光学防抖 5G拍照  暖阳金 8GB+256GB,1199.0,vivo官方旗舰店,vivo,//img14.360buyimg.com/n7/jfs/t1/224192/31/14376/64973/65d5ab47Fde65d0f2/73a2093799f48aaf.jpg.avif,5000,5,1400,5000,0.96,30,20,20,20
86,100065496802,vivo iQOO Z8 8GB+256GB 星野青 天玑8200旗舰芯120W超快闪充防抖拍照学生游戏5G智能,1379.0,京东手机运营商自营旗舰店,vivo,//img12.360buyimg.com/n7/jfs/t1/242830/23/4468/111349/65bf2c85F1ff5df72/4407a9e77cc5c015.jpg.avif,1000,5,200,1000,0.95,2,3,8,6
